name,line1,city,zip,country,regon,pesel,nip,nip_czysty,invoice_currency,freight_currency,payment_term,phone1,phone2,fax,"email",www,invoice_language
"ZAKŁAD UBEZPIECZEŃ SPOŁECZNYCH",-,-,00-000,PL,NULL,NULL,1111111111,1111111111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PL
"URZAD SKARBOWY",-,-,00-000,PL,NULL,NULL,1111111111,1111111111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PL
"MOJA FIRMA","Moja 4",Poznań,62-510,PL,NULL,NULL,1100000000,1100000000,PLN,PLN,14,NULL,NULL,NULL,NULL,NULL,PL
"FIRMA A","Czerwona 5",Kłobuck,42-100,PL,NULL,NULL,1111111112,1111111112,PLN,PLN,14,NULL,NULL,NULL,NULL,NULL,PL
"FIRMA B","Biała 3",Szczytno,12-100,PL,NULL,NULL,2222222222,2222222222,PLN,PLN,14,NULL,NULL,NULL,NULL,NULL,PL
"FIRMA C","Żółta 2",Rzeszów,35-050,PL,NULL,NULL,6666666666,6666666666,PLN,PLN,14,NULL,NULL,NULL,NULL,NULL,PL
"FIRMA D","Długa 1",Sędziszów,39-120,PL,NULL,NULL,7777777777,7777777777,PLN,PLN,14,NULL,NULL,NULL,NULL,NULL,PL
WARSZTAT,Poznańska,Konin,62-510,PL,NULL,NULL,1111000000,1111000000,PLN,PLN,14,NULL,NULL,NULL,NULL,NULL,PL
"FIRMA R","Krzywa 3/4",Warszawa,00-555,PL,NULL,NULL,4444444444,4444444444,PLN,EUR,14,NULL,NULL,NULL,NULL,NULL,PL
"FIRMA P","Słoneczna 5",Sędziszów,39-120,PL,NULL,NULL,9999999999,9999999999,PLN,EUR,14,NULL,NULL,NULL,NULL,NULL,PL
SPIDPOL,"Długa 9/9",Konin,62-510,PL,NULL,NULL,1110000000,1110000000,PLN,EUR,14,NULL,NULL,NULL,NULL,NULL,PL
"FIRMA DE","Kleine 90",Berlin,898-598,DE,NULL,NULL,8888888888,8888888888,PLN,PLN,14,NULL,NULL,NULL,NULL,NULL,PL
